NomSite,Adresse,CodePostal,CodeSite,NbBornes,Latitude,Longitude
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE  17,25 RUE LANTIEZ,75017,PW0042,1,48.8950306662,2.32375142311
PISCINE BERNARD LAFAY,79 RUE DE LA JONQUIERE,75017,PW0100,1,48.8946479903,2.31881724233
SQUARE ANDRE ULMANN,17 BOULEVARD DE REIMS,75017,PW0166,1,48.8899003976,2.29894138948
BIBLIOTHEQUE COLETTE VIVIER,6 RUE FOURNEYRON,75017,PW0003,1,48.889783335,2.31964337344
MAISON DE LA VIE ASSOCIATIVE ET CITOYENNE 18,15 PASSAGE RAMEY,75018,PW0032,2,48.890069083,2.34733549712
CENTRE SPORTIF POISSONNIERS,2 RUE JEAN COCTEAU,75018,PW0091,1,48.8996859262,2.35199197527
ESPACE GLISSE DES FILLETTES,54 BOULEVARD NEY,75018,PW0093,1,48.8987598139,2.36350693511
BIBLIOTHEQUE JACQUELINE DE ROMILLY,16-30 AVENUE DE LA PORTE MONTMARTRE,75018,PW0198,2,48.9003798743,2.3358735009
BUTTE MONTMARTRE,6 PLACE SAINT-PIERRE,75018,,1,48.8844827328,2.34387627415
CENTRE SPORTIF BERTRAND DAUVIN,12 RUE RENE BINET,75018,PW0089,1,48.8994866387,2.34205409809
BIBLIOTHEQUE GOUTTE D OR,2-4 RUE FLEURY,75018,PW0006,3,48.8844631298,2.35414160142
MAIRIE DU 18 EME,1 PLACE JULES JOFFRIN,75018,PW0023,1,48.8923035579,2.34468721296
JARDIN D EOLE - 1,18B RUE DU DEPARTEMENT,75018,PW0170,2,48.8864505694,2.36547579719
BIBLIOTHEQUE ROBERT SABATIER,29 RUE HERMEL,75018,,3,48.891536321,2.34443632011
JARDIN D EOLE - 2,18B RUE DU DEPARTEMENT,75018,PW0170-1,1,48.8858336546,2.36504782956
BIBLIOTHEQUE VACLAV HAVEL,26B RUE PAJOL,75018,PW0009,4,48.8901061541,2.36320997363
CENTRE SPORTIF ZAC PAJOL,22T RUE PAJOL,75018,PW0092,1,48.8895947972,2.36306760121
BIBLIOTHEQUE MAURICE GENEVOIX,19 RUE TRISTAN TZARA,75018,PW0007,1,48.894964593,2.36390071349
